,destino_ciudad_mercado,lat_mercado,lon_mercado,destino_municipio,lat_destino_municipio,lon_destino_municipio
0,"Armenia, Mercar",4.528174905,-75.71215163,Armenia,4.528174905,-75.71215163
1,"Barranquilla, Barranquillita",10.9813754,-74.77161354,Barranquilla,10.9813754,-74.77161354
2,"Barranquilla, Granabastos",10.9317763,-74.79894238,Barranquilla,10.9813754,-74.77161354
3,"Bogotá, D.C., Corabastos",4.630774064,-74.15925873,"Bogotá, D.C.",4.630774064,-74.15925873
4,"Bogotá, D.C., Paloquemao",4.615991251,-74.08450483,"Bogotá, D.C.",4.630774064,-74.15925873
5,"Bogotá, D.C., Plaza Las Flores",4.63356405,-74.15593583,"Bogotá, D.C.",4.630774064,-74.15925873
6,"Bogotá, D.C., Plaza Samper Mendoza",4.619194032,-74.08296034,"Bogotá, D.C.",4.630774064,-74.15925873
7,"Bucaramanga, Centroabastos",7.103471161,-73.16586079,Bucaramanga,7.103471161,-73.16586079
8,"Cali, Cavasa",3.416385916,-76.41415565,Cali,3.416385916,-76.41415565
9,"Cali, Santa Helena",3.427714046,-76.52095626,Cali,3.416385916,-76.41415565
10,"Cartagena, Bazurto",10.41364196,-75.52302469,Cartagena,10.41364196,-75.52302469
11,"Cúcuta, Cenabastos",7.926693274,-72.49518696,Cúcuta,7.926693274,-72.49518696
12,"Cúcuta, La Nueva Sexta",7.928673757,-72.4945283,Cúcuta,7.926693274,-72.49518696
13,"Ibagué, Plaza La 21",4.440352067,-75.232292,Ibagué,4.440352067,-75.232292
14,"Ipiales (Nariño), Centro de acopio",0.837838925,-77.5972741,Ipiales,0.837838925,-77.5972741
15,"Manizales, Centro Galerías",5.071935377,-75.51657541,Manizales,5.071935377,-75.51657541
16,"Medellín, Central Mayorista de Antioquia",6.18987165,-75.59059516,Medellín,6.18987165,-75.59059516
17,"Medellín, Plaza Minorista ""José María Villa""",6.257878319,-75.57346037,Medellín,6.18987165,-75.59059516
18,"Montería, Mercado del Sur",8.742892553,-75.88723387,Montería,8.742892553,-75.88723387
19,"Neiva, Surabastos",2.895956968,-75.28390921,Neiva,2.895956968,-75.28390921
20,"Pasto, El Potrerillo",1.197337358,-77.27109252,Pasto,1.197337358,-77.27109252
21,"Pereira, Mercasa",4.806908189,-75.76659353,Pereira,4.806908189,-75.76659353
22,"Popayán, Plaza de mercado del barrio Bolívar",2.445663235,-76.60200911,Popayán,2.445663235,-76.60200911
23,Santa Marta (Magdalena),11.24659317,-74.20636505,Santa Marta,11.24659317,-74.20636505
24,"Sincelejo, Nuevo Mercado",9.295536477,-75.3864815,Sincelejo,9.295536477,-75.3864815
25,"Tunja, Complejo de Servicios del Sur",5.509071054,-73.37225016,Tunja,5.509071054,-73.37225016
26,"Valledupar, Mercabastos",10.44113774,-73.26727877,Valledupar,10.44113774,-73.26727877
27,"Valledupar, Mercado Nuevo",10.4644279,-73.24717474,Valledupar,10.44113774,-73.26727877
28,"Villavicencio, CAV",4.121974723,-73.61113457,Villavicencio,4.121974723,-73.61113457
