DPTO_CCDGO,MPIO_CCDGO,MPIO_CNMBR,MPIO_CDPMP,AREA,LATITUD,LONGITUD,Shape_Leng,Shape_Area,VERSION,STCTNENCUE,STP3_1_SI,STP3_2_NO,STP3A_RI,STP3B_TCN,STP4_1_SI,STP4_2_NO,STP9_1_USO,STP9_2_USO,STP9_3_USO,STP9_4_USO,STP9_2_1_M,STP9_2_2_M,STP9_2_3_M,STP9_2_4_M,STP9_2_9_M,STP9_3_1_N,STP9_3_2_N,STP9_3_3_N,STP9_3_4_N,STP9_3_5_N,STP9_3_6_N,STP9_3_7_N,STP9_3_8_N,STP9_3_9_N,STP9_3_10,STP9_3_99,STVIVIENDA,STP14_1_TI,STP14_2_TI,STP14_3_TI,STP14_4_TI,STP14_5_TI,STP14_6_TI,STP15_1_OC,STP15_2_OC,STP15_3_OC,STP15_4_OC,TSP16_HOG,STP19_EC_1,STP19_ES_2,STP19_EE_1,STP19_EE_2,STP19_EE_3,STP19_EE_4,STP19_EE_5,STP19_EE_6,STP19_EE_9,STP19_ACU1,STP19_ACU2,STP19_ALC1,STP19_ALC2,STP19_GAS1,STP19_GAS2,STP19_GAS9,STP19_REC1,STP19_REC2,STP19_INT1,STP19_INT2,STP19_INT9,STP27_PERS,STPERSON_L,STPERSON_S,STP32_1_SE,STP32_2_SE,STP34_1_ED,STP34_2_ED,STP34_3_ED,STP34_4_ED,STP34_5_ED,STP34_6_ED,STP34_7_ED,STP34_8_ED,STP34_9_ED,STP51_PRIM,STP51_SECU,STP51_SUPE,STP51_POST,STP51_13_E,STP51_99_E
18,001,FLORENCIA,18001,2547637532.26,1.74913870382,-75.5582390643,2.94250780494,0.20692776912,2018.0,71877.0,32.0,71845.0,32.0,0.0,0.0,71877.0,61176.0,2178.0,8436.0,87.0,39.0,1550.0,566.0,18.0,5.0,54.0,2591.0,1061.0,535.0,368.0,3172.0,233.0,7.0,19.0,371.0,25.0,63354.0,47817.0,13764.0,1624.0,21.0,8.0,120.0,49809.0,2681.0,2150.0,8714.0,51430.0,48638.0,1171.0,34851.0,10343.0,2169.0,509.0,13.0,3.0,750.0,45179.0,4630.0,41138.0,8671.0,37028.0,12074.0,707.0,45491.0,4318.0,13362.0,35727.0,720.0,156789.0,4315.0,152474.0,77620.0,79169.0,25503.0,30249.0,29951.0,23602.0,17235.0,14349.0,8969.0,4687.0,2244.0,37918.0,14123.0,14606.0,856.0,5892.0,3799.0
18,029,ALBANIA,18029,414122070.187,1.22786549019,-75.8823265076,1.11282888758,0.03361757614,2018.0,2825.0,24.0,2801.0,24.0,0.0,0.0,2825.0,1826.0,49.0,948.0,2.0,3.0,34.0,12.0,0.0,0.0,3.0,21.0,32.0,728.0,53.0,92.0,5.0,0.0,0.0,14.0,0.0,1875.0,1793.0,40.0,22.0,17.0,0.0,3.0,1409.0,13.0,55.0,398.0,1559.0,1300.0,109.0,1184.0,106.0,1.0,0.0,0.0,0.0,9.0,808.0,601.0,703.0,706.0,26.0,1371.0,12.0,727.0,682.0,27.0,1370.0,12.0,4514.0,151.0,4363.0,2323.0,2191.0,725.0,1016.0,717.0,568.0,536.0,445.0,253.0,162.0,92.0,1696.0,150.0,98.0,0.0,215.0,46.0
18,094,BELÉN DE LOS ANDAQUÍES,18094,1191618571.63,1.50092300306,-75.8756454243,2.23465674218,0.09674460368,2018.0,4243.0,54.0,4189.0,54.0,0.0,1.0,4242.0,3223.0,109.0,900.0,11.0,4.0,99.0,6.0,0.0,0.0,8.0,88.0,6.0,2.0,61.0,626.0,8.0,0.0,8.0,93.0,0.0,3332.0,3189.0,113.0,24.0,2.0,2.0,2.0,2883.0,2.0,107.0,340.0,3161.0,2595.0,288.0,2118.0,366.0,17.0,2.0,1.0,0.0,91.0,2017.0,866.0,1806.0,1077.0,52.0,2796.0,35.0,1905.0,978.0,73.0,2775.0,35.0,9075.0,346.0,8729.0,4551.0,4524.0,1592.0,2254.0,1388.0,1121.0,986.0,816.0,487.0,286.0,145.0,2596.0,418.0,171.0,12.0,720.0,123.0
18,247,EL DONCELLO,18247,1106076151.1,1.79138590347,-75.1939441549,3.15437031984,0.08986743835,2018.0,8809.0,0.0,8809.0,0.0,0.0,0.0,8809.0,6598.0,357.0,1850.0,4.0,11.0,259.0,87.0,0.0,0.0,21.0,334.0,124.0,807.0,89.0,361.0,42.0,0.0,27.0,39.0,6.0,6955.0,6006.0,775.0,160.0,1.0,1.0,12.0,5767.0,304.0,388.0,496.0,6129.0,5375.0,392.0,3548.0,962.0,793.0,1.0,1.0,1.0,69.0,4175.0,1592.0,4323.0,1444.0,57.0,5549.0,161.0,4348.0,1419.0,211.0,5395.0,161.0,17775.0,203.0,17572.0,8790.0,8985.0,3047.0,3811.0,2601.0,2302.0,2032.0,1792.0,1135.0,707.0,348.0,6091.0,712.0,347.0,26.0,1095.0,171.0
18,256,EL PAUJÍL,18256,1234734144.92,1.61774635616,-75.2340433342,3.52931590853,0.10030928304,2018.0,5795.0,0.0,5795.0,0.0,0.0,0.0,5795.0,4891.0,204.0,695.0,5.0,4.0,161.0,38.0,1.0,0.0,5.0,239.0,104.0,4.0,70.0,211.0,16.0,0.0,0.0,45.0,1.0,5095.0,4700.0,145.0,188.0,4.0,1.0,57.0,4568.0,5.0,323.0,199.0,5848.0,4195.0,373.0,3330.0,770.0,84.0,0.0,1.0,1.0,9.0,2505.0,2063.0,2359.0,2209.0,1463.0,3041.0,64.0,2414.0,2154.0,125.0,4379.0,64.0,13014.0,192.0,12822.0,6601.0,6413.0,2346.0,2882.0,2170.0,1587.0,1460.0,1188.0,703.0,430.0,248.0,4805.0,261.0,226.0,0.0,916.0,99.0
18,410,LA MONTAÑITA,18410,1701061429.71,1.30286044233,-75.2357273187,3.40293900106,0.13817350787,2018.0,5113.0,15.0,5098.0,15.0,0.0,0.0,5113.0,4077.0,241.0,786.0,9.0,2.0,205.0,32.0,2.0,0.0,3.0,103.0,123.0,17.0,84.0,362.0,30.0,0.0,0.0,58.0,6.0,4318.0,3890.0,224.0,161.0,6.0,2.0,35.0,3553.0,151.0,308.0,306.0,3748.0,2159.0,1394.0,1964.0,144.0,9.0,1.0,0.0,0.0,41.0,1441.0,2112.0,1329.0,2224.0,67.0,3454.0,32.0,1273.0,2280.0,64.0,3457.0,32.0,12128.0,604.0,11524.0,6437.0,5691.0,2229.0,3022.0,1836.0,1563.0,1441.0,1010.0,578.0,323.0,126.0,5011.0,384.0,134.0,0.0,724.0,182.0
18,460,MILÁN,18460,1220575999.24,1.14669255394,-75.3866476384,1.8631966501,0.09912781874,2018.0,3462.0,363.0,3099.0,363.0,0.0,0.0,3462.0,2594.0,118.0,745.0,5.0,1.0,104.0,12.0,1.0,0.0,0.0,75.0,41.0,39.0,24.0,514.0,8.0,0.0,8.0,35.0,1.0,2712.0,2204.0,85.0,33.0,386.0,0.0,4.0,1985.0,4.0,399.0,324.0,2182.0,1152.0,833.0,1098.0,31.0,0.0,1.0,0.0,1.0,21.0,359.0,1626.0,595.0,1390.0,20.0,1950.0,15.0,661.0,1324.0,39.0,1931.0,15.0,7507.0,527.0,6980.0,3953.0,3554.0,1550.0,2018.0,1125.0,912.0,736.0,562.0,356.0,172.0,76.0,2823.0,653.0,81.0,0.0,465.0,86.0
18,479,MORELIA,18479,462479590.659,1.38299610984,-75.6738112337,1.51868831221,0.03755356264,2018.0,1907.0,0.0,1907.0,0.0,0.0,0.0,1907.0,1221.0,36.0,650.0,0.0,0.0,36.0,0.0,0.0,0.0,1.0,27.0,16.0,442.0,31.0,114.0,8.0,0.0,2.0,9.0,0.0,1257.0,1160.0,81.0,15.0,0.0,0.0,1.0,1013.0,0.0,70.0,174.0,1233.0,923.0,90.0,719.0,187.0,9.0,0.0,0.0,0.0,8.0,588.0,425.0,573.0,440.0,15.0,982.0,16.0,588.0,425.0,6.0,991.0,16.0,3350.0,0.0,3350.0,1709.0,1641.0,562.0,678.0,570.0,428.0,431.0,304.0,212.0,114.0,51.0,1097.0,64.0,94.0,0.0,181.0,32.0
18,610,SAN JOSÉ DEL FRAGUA,18610,1304769006.24,1.30470231426,-76.1100059415,2.04083654128,0.10589313491,2018.0,5756.0,83.0,5673.0,83.0,0.0,27.0,5729.0,4493.0,302.0,955.0,6.0,1.0,273.0,28.0,0.0,0.0,4.0,242.0,82.0,0.0,101.0,307.0,55.0,0.0,1.0,159.0,4.0,4795.0,4372.0,262.0,135.0,9.0,0.0,17.0,3444.0,1.0,875.0,475.0,3873.0,2794.0,650.0,2486.0,283.0,7.0,0.0,1.0,0.0,17.0,2576.0,868.0,2121.0,1323.0,1329.0,2078.0,37.0,2559.0,885.0,131.0,3276.0,37.0,11364.0,399.0,10965.0,5812.0,5552.0,2129.0,2822.0,1757.0,1494.0,1267.0,933.0,542.0,275.0,145.0,3853.0,809.0,171.0,0.0,579.0,94.0
18,860,VALPARAÍSO,18860,1330210015.03,1.06129220657,-75.6270476674,2.31384814926,0.10800551114,2018.0,3958.0,0.0,3958.0,0.0,0.0,0.0,3958.0,2308.0,40.0,1602.0,8.0,0.0,29.0,11.0,0.0,0.0,4.0,35.0,42.0,441.0,56.0,982.0,19.0,0.0,3.0,15.0,5.0,2348.0,2197.0,52.0,82.0,1.0,2.0,14.0,1813.0,3.0,199.0,333.0,1881.0,1697.0,116.0,1624.0,68.0,2.0,0.0,0.0,0.0,3.0,775.0,1038.0,842.0,971.0,22.0,1772.0,19.0,816.0,997.0,48.0,1739.0,26.0,6082.0,404.0,5678.0,3204.0,2878.0,1013.0,1592.0,836.0,696.0,742.0,608.0,308.0,187.0,100.0,1727.0,176.0,33.0,0.0,368.0,108.0
